product_id,observations,estimated_elasticity,standard_error,p_value,confidence_lower,confidence_upper,r_squared,category,true_elasticity,estimation_error,absolute_error,elasticity_class
P003,1416,-0.6805045698247478,0.1735252449079398,8.794616114503731e-05,-1.0206078002528023,-0.3404013393966934,0.6774517636504662,Beverages,-2.4,1.719495430175252,1.719495430175252,Inelastic
P006,1431,-0.14695762463709122,0.1806325578386176,0.4158900781576046,-0.5009909324361299,0.20707568316194747,0.6534624221430463,Grocery,-2.0,1.8530423753629088,1.8530423753629088,Inelastic
P002,1426,0.14292333260247136,0.18472825376763768,0.439111157333278,-0.21913739170907404,0.5049840569140167,0.6794998454069054,Beverages,-2.1,2.2429233326024716,2.2429233326024716,Inelastic
P008,1419,0.25063274992887896,0.21864275348448095,0.2516661969432501,-0.1778991723813731,0.679164672239131,0.5479416602650955,Household,-1.5,1.750632749928879,1.750632749928879,Inelastic
P001,1420,0.33937585468933007,0.18970959284943006,0.07362721650557762,-0.03244811481731025,0.7111998241959704,0.6837830820774389,Beverages,-1.8,2.1393758546893302,2.1393758546893302,Inelastic
P010,1414,0.6115144035579483,0.22176621797116355,0.005824998732996307,0.17686060334680842,1.046168203769088,0.6128758059193686,Personal Care,-1.6,2.211514403557948,2.211514403557948,Inelastic
P007,1413,0.6705018075631538,0.197184409067613,0.0006729240642567403,0.28402746747781904,1.0569761476484887,0.5612237296662568,Household,-1.2,1.8705018075631537,1.8705018075631537,Inelastic
P005,1433,0.6751258779572106,0.20050252413514463,0.0007594414056198512,0.28214815184295416,1.0681036040714669,0.6653014963223024,Grocery,-1.7,2.3751258779572106,2.3751258779572106,Inelastic
P009,1424,0.7018935163389612,0.182728695222151,0.00012244508358416481,0.34375185476154907,1.0600351779163735,0.608666403734814,Personal Care,-1.3,2.0018935163389613,2.0018935163389613,Inelastic
P004,1476,0.8831519896428799,0.20182209300749615,1.2093604210837237e-05,0.48758795606369437,1.2787160232220653,0.6720288196440383,Grocery,-1.4,2.28315198964288,2.28315198964288,Inelastic
